iter	Accuracy	Logloss
0	0.7209375	0.6693282119
1	0.74625	0.6465539929
2	0.7425	0.6284738188
3	0.756875	0.6114073385
4	0.7571875	0.5983549464
5	0.7690625	0.5848535756
6	0.7690625	0.5740292539
7	0.7853125	0.5611908529
8	0.784375	0.5505005733
9	0.7853125	0.5433528839
10	0.7946875	0.5346792933
11	0.7959375	0.5280984184
12	0.796875	0.5210508223
13	0.8025	0.5138202375
14	0.803125	0.5063693451
15	0.806875	0.4987225513
16	0.8096875	0.4936239069
17	0.8096875	0.4883769089
18	0.8128125	0.4830398527
19	0.8109375	0.4776803524
20	0.8175	0.4734087119
21	0.8146875	0.468282345
22	0.8165625	0.4643678857
23	0.819375	0.4612172039
24	0.8209375	0.4568716858
25	0.8203125	0.452770616
26	0.823125	0.4483512383
27	0.8240625	0.4452272839
28	0.825625	0.4409411403
29	0.8253125	0.4382662264
30	0.8284375	0.4344596503
31	0.8309375	0.4302418535
32	0.8296875	0.4281031908
33	0.8290625	0.4268908137
34	0.829375	0.4238266567
35	0.82875	0.4215944874
36	0.82875	0.4183369528
37	0.8284375	0.4171510259
38	0.830625	0.4135852907
39	0.8315625	0.4124326127
40	0.8321875	0.4099006566
41	0.8346875	0.4065898486
42	0.8384375	0.4030403306
43	0.8396875	0.3993740905
44	0.84125	0.3968972061
45	0.840625	0.3949131342
46	0.840625	0.392569508
47	0.841875	0.3907453401
48	0.8415625	0.3896319485
49	0.841875	0.3888755423
50	0.843125	0.3860837729
51	0.8440625	0.3841777531
52	0.844375	0.382751751
53	0.8434375	0.3818332778
54	0.844375	0.3812253642
55	0.843125	0.3795329769
56	0.843125	0.3776877655
57	0.843125	0.3763597423
58	0.845	0.3743984322
59	0.845625	0.3730569214
60	0.8465625	0.3714706588
61	0.8475	0.3685521605
62	0.8475	0.3678697013
63	0.8478125	0.3669450731
64	0.848125	0.3658831543
65	0.8471875	0.3646560093
66	0.8471875	0.3635803803
67	0.85	0.3620777416
68	0.85	0.3612247449
69	0.850625	0.3590620188
70	0.8509375	0.3581859894
71	0.851875	0.3565918203
72	0.8521875	0.3553065317
73	0.8528125	0.3542651467
74	0.854375	0.3533140516
75	0.8540625	0.3523381574
76	0.8546875	0.3507174725
77	0.8553125	0.3499650157
78	0.8553125	0.3492787134
79	0.85625	0.3485745621
80	0.8565625	0.3468159569
81	0.8565625	0.3453704718
82	0.8571875	0.3445071716
83	0.8578125	0.3435534357
84	0.858125	0.3424601286
85	0.8603125	0.3416193059
86	0.8603125	0.3405275432
87	0.8603125	0.3400116848
88	0.860625	0.339223196
89	0.8603125	0.3386836947
90	0.8615625	0.3383031376
91	0.86125	0.337580666
92	0.863125	0.3364878462
93	0.8628125	0.3359271836
94	0.86375	0.3342523781
95	0.8634375	0.3329499222
96	0.8653125	0.3320135933
97	0.865	0.3313111439
98	0.8653125	0.3298594705
99	0.8665625	0.3291115883
