iter	Passed	Remaining
0	0	58
1	1	66
2	1	61
3	2	62
4	3	65
5	4	64
6	4	62
7	5	62
8	5	58
9	6	56
10	6	55
11	7	56
12	8	56
13	9	57
14	10	56
15	10	55
16	11	54
17	12	56
18	13	55
19	13	54
20	14	55
21	15	53
22	15	52
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	24	42
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	29	38
43	30	38
44	30	37
45	31	36
46	31	35
47	32	34
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
